iter	Passed	Remaining
0	183	917271
1	199	499589
2	212	354084
3	229	287075
4	242	242280
5	261	217890
6	269	191888
7	285	178310
8	306	170231
9	339	169452
10	352	159986
11	396	164684
12	421	161643
13	462	164623
14	477	158558
15	493	153772
16	527	154636
17	566	156741
18	600	157379
19	632	157601
20	665	157838
21	679	153670
22	698	151112
23	724	150212
24	748	148974
25	772	147698
26	796	146773
27	848	150745
28	893	153182
29	932	154547
30	952	152611
31	986	153138
32	1036	156034
33	1078	157547
34	1105	156880
35	1127	155441
36	1152	154628
37	1172	153152
38	1202	152934
39	1227	152169
40	1246	150709
41	1277	150863
42	1293	149143
43	1335	150431
44	1376	151566
45	1418	152747
46	1448	152643
47	1470	151730
48	1484	149986
49	1520	150548
50	1557	151131
51	1600	152272
52	1648	153844
53	1676	153527
54	1715	154227
55	1750	154529
56	1789	155225
57	1811	154330
58	1858	155625
59	1898	156334
60	1920	155479
61	1960	156104
62	1999	156661
63	2046	157800
64	2086	158433
65	2127	159061
66	2179	160487
67	2247	163021
68	2315	165498
69	2355	165916
70	2391	166024
71	2433	166529
72	2480	167425
73	2526	168165
74	2564	168394
75	2598	168362
76	2640	168797
77	2676	168924
78	2725	169762
79	2775	170662
80	2816	171041
81	2857	171385
82	2903	172031
83	2948	172545
84	2990	172893
85	3029	173089
86	3066	173177
87	3100	173065
88	3146	173605
89	3185	173809
90	3228	174157
91	3270	174470
92	3315	174925
93	3355	175147
94	3398	175457
95	3439	175716
96	3477	175797
97	3517	175952
98	3562	176381
99	3607	176759
100	3643	176737
101	3685	176989
102	3728	177243
103	3775	177755
104	3813	177778
105	3855	178002
106	3897	178246
107	3939	178454
108	4015	180180
109	4056	180320
110	4094	180351
111	4132	180363
112	4186	181035
113	4233	181431
114	4280	181815
115	4319	181881
116	4364	182163
117	4410	182462
118	4450	182550
119	4484	182375
120	4520	182270
121	4562	182409
122	4611	182828
123	4656	183097
124	4697	183199
125	4736	183232
126	4782	183510
127	4825	183683
128	4866	183764
129	4906	183816
130	4956	184229
131	5017	185027
132	5053	184919
133	5086	184704
134	5139	185199
135	5181	185314
136	5225	185480
137	5262	185402
138	5298	185312
139	5335	185213
140	5369	185042
141	5414	185243
142	5453	185213
143	5492	185225
144	5528	185097
145	5567	185112
146	5617	185464
147	5682	186287
148	5723	186332
149	5765	186408
150	5808	186538
151	5846	186476
152	5885	186443
153	5923	186389
154	5957	186226
155	5999	186291
156	6040	186333
157	6084	186466
158	6125	186487
159	6164	186486
160	6213	186751
161	6254	186781
162	6298	186904
163	6338	186901
164	6380	186977
165	6425	187123
166	6464	187093
167	6501	186991
168	6538	186910
169	6574	186797
170	6619	186934
171	6660	186972
172	6703	187029
173	6743	187030
174	6785	187072
175	6839	187472
176	6882	187533
177	6918	187419
178	6955	187332
179	6999	187442
180	7044	187547
181	7086	187591
182	7126	187584
183	7168	187620
184	7207	187586
185	7251	187682
186	7289	187627
187	7358	188355
188	7406	188527
189	7449	188591
190	7486	188507
191	7529	188563
192	7584	188899
193	7661	189806
194	7732	190527
195	7806	191345
196	7882	192192
197	7922	192150
198	7966	192188
199	8009	192216
200	8049	192195
201	8090	192169
202	8135	192235
203	8174	192184
204	8208	192005
205	8242	191818
206	8284	191814
207	8329	191906
208	8369	191851
209	8407	191771
210	8447	191739
211	8490	191766
212	8539	191907
213	8580	191903
214	8616	191760
215	8654	191677
216	8699	191747
217	8743	191805
218	8781	191719
219	8818	191605
220	8855	191496
221	8901	191576
222	8953	191789
223	8996	191820
224	9035	191757
225	9076	191727
226	9115	191667
227	9161	191743
228	9200	191674
229	9240	191646
230	9281	191607
231	9323	191616
232	9368	191681
233	9409	191640
234	9447	191571
235	9487	191508
236	9525	191426
237	9570	191491
238	9611	191463
239	9653	191455
240	9698	191510
241	9741	191531
242	9783	191518
243	9824	191504
244	9865	191469
245	9908	191489
246	9949	191450
247	9995	191534
248	10037	191511
249	10076	191444
250	10119	191463
251	10158	191401
252	10203	191438
253	10236	191267
254	10270	191112
255	10302	190922
256	10344	190902
257	10383	190841
258	10423	190808
259	10464	190770
260	10497	190607
261	10533	190487
262	10568	190361
263	10606	190279
264	10648	190270
265	10686	190179
266	10733	190274
267	10779	190327
268	10814	190197
269	10847	190033
270	10885	189948
271	10932	190025
272	10978	190099
273	11017	190032
274	11055	189956
275	11095	189916
276	11142	189991
277	11186	190002
278	11224	189937
279	11264	189885
280	11331	190293
281	11391	190582
282	11451	190870
283	11503	191028
284	11546	191029
285	11591	191052
286	11630	190992
287	11673	190999
288	11718	191023
289	11770	191171
290	11811	191135
291	11852	191100
292	11897	191127
293	11938	191097
294	11983	191129
295	12030	191194
296	12071	191159
297	12114	191150
298	12156	191130
299	12201	191155
300	12245	191166
301	12288	191164
302	12329	191124
303	12369	191081
304	12407	190992
305	12455	191066
306	12493	190981
307	12526	190825
308	12567	190792
309	12607	190743
310	12655	190806
311	12698	190798
312	12738	190756
313	12778	190696
314	12819	190657
315	12865	190699
316	12905	190651
317	12944	190582
318	12980	190468
319	13022	190456
320	13077	190625
321	13122	190638
322	13160	190568
323	13213	190697
324	13271	190909
325	13315	190912
326	13362	190954
327	13406	190965
328	13452	190994
329	13494	190969
330	13536	190946
331	13581	190959
332	13624	190941
333	13667	190930
334	13711	190941
335	13749	190851
336	13784	190735
337	13827	190727
338	13873	190750
339	13914	190704
340	13953	190640
341	13996	190630
342	14040	190628
343	14083	190618
344	14123	190561
345	14164	190531
346	14199	190405
347	14241	190375
348	14286	190388
349	14320	190261
350	14352	190099
351	14384	189938
352	14432	189990
353	14475	189983
354	14514	189920
355	14550	189814
356	14586	189702
357	14637	189791
358	14686	189856
359	14721	189743
360	14760	189682
361	14798	189596
362	14843	189618
363	14888	189621
364	14927	189559
365	14967	189510
366	15011	189508
367	15058	189536
368	15097	189469
369	15140	189462
370	15182	189427
371	15223	189388
372	15265	189363
373	15301	189257
374	15337	189167
375	15376	189095
376	15415	189029
377	15461	189060
378	15505	189046
379	15542	188969
380	15584	188934
381	15629	188940
382	15670	188908
383	15710	188848
384	15745	188745
385	15782	188656
386	15822	188604
387	15866	188595
388	15906	188545
389	15948	188523
390	15998	188591
391	16051	188689
392	16092	188641
393	16135	188632
394	16176	188590
395	16212	188492
396	16246	188368
397	16293	188397
398	16336	188378
399	16378	188356
400	16420	188328
401	16460	188272
402	16504	188270
403	16549	188273
404	16587	188202
405	16622	188087
406	16662	188033
407	16709	188064
408	16751	188032
409	16791	187986
410	16828	187896
411	16866	187827
412	16915	187874
413	16961	187890
414	17001	187830
415	17044	187816
416	17088	187810
417	17131	187786
418	17171	187736
419	17210	187677
420	17248	187603
421	17288	187556
422	17332	187542
423	17372	187491
424	17414	187464
425	17454	187413
426	17497	187387
427	17541	187387
428	17581	187326
429	17615	187211
430	17650	187115
431	17686	187014
432	17729	186999
433	17773	186985
434	17812	186928
435	17855	186913
436	17894	186843
437	17932	186781
438	17975	186759
439	18017	186731
440	18056	186666
441	18090	186548
442	18124	186440
443	18171	186462
444	18213	186431
445	18248	186333
446	18289	186289
447	18332	186271
448	18383	186335
449	18429	186347
450	18469	186290
451	18505	186199
452	18542	186124
453	18588	186129
454	18627	186074
455	18667	186023
456	18707	185970
457	18747	185923
458	18793	185927
459	18831	185863
460	18905	186138
461	18941	186054
462	18985	186040
463	19022	185961
464	19059	185882
465	19093	185768
466	19131	185701
467	19177	185710
468	19218	185665
469	19259	185632
470	19296	185553
471	19344	185576
472	19384	185527
473	19420	185440
474	19458	185365
475	19498	185321
476	19548	185364
477	19594	185369
478	19634	185315
479	19674	185264
480	19713	185210
481	19756	185189
482	19804	185211
483	19845	185171
484	19887	185142
485	19927	185087
486	19964	185008
487	20008	184993
488	20048	184947
489	20081	184834
490	20119	184760
491	20154	184664
492	20201	184679
493	20246	184674
494	20286	184629
495	20324	184556
496	20361	184484
497	20399	184411
498	20443	184404
499	20501	184517
500	20540	184458
501	20578	184390
502	20621	184359
503	20664	184342
504	20707	184320
505	20748	184272
506	20788	184224
507	20833	184224
508	20880	184235
509	20920	184184
510	20962	184149
511	20998	184061
512	21033	183969
513	21076	183946
514	21121	183943
515	21160	183883
516	21196	183800
517	21233	183720
518	21280	183733
519	21321	183695
520	21359	183626
521	21400	183589
522	21445	183577
523	21486	183533
524	21524	183467
525	21566	183439
526	21608	183406
527	21653	183395
528	21701	183417
529	21742	183373
530	21782	183325
531	21824	183289
532	21863	183237
533	21908	183227
534	21944	183147
535	21980	183065
536	22024	183047
537	22066	183015
538	22113	183022
539	22150	182945
540	22192	182910
541	22235	182888
542	22277	182854
543	22320	182831
544	22361	182788
545	22400	182734
546	22431	182608
547	22466	182523
548	22512	182518
549	22554	182486
550	22593	182425
551	22633	182380
552	22680	182388
553	22729	182407
554	22771	182373
555	22808	182305
556	22848	182253
557	22887	182200
558	22929	182165
559	22971	182127
560	23010	182077
561	23055	182064
562	23099	182046
563	23147	182064
564	23189	182030
565	23230	181983
566	23265	181896
567	23306	181856
568	23350	181837
569	23391	181798
570	23432	181759
571	23469	181686
572	23509	181637
573	23557	181643
574	23599	181616
575	23633	181518
576	23668	181432
577	23708	181384
578	23748	181330
579	23783	181250
580	23819	181169
581	23860	181128
582	23907	181131
583	23951	181110
584	23985	181017
585	24018	180915
586	24059	180878
587	24097	180816
588	24135	180751
589	24174	180696
590	24214	180642
591	24246	180538
